库/主题,子类(为何是一组),条目,标识,备注
IARC 致癌分级,一组镰刀菌毒素,"Fusarium moniliforme, toxins derived from (fumonisin B1, fumonisin B2, and fusarin C)",CAS=116355-83-0  分级=2B,
IARC 致癌分级,六氯环己烷异构体组,Hexachlorocyclohexanes,CAS=-  分级=2B,
IARC 致癌分级,次氯酸盐组,Hypochlorite salts,CAS=-  分级=3,
IARC 致癌分级,汞及其无机化合物组,Mercury and inorganic mercury compounds,CAS=7439-97-6  分级=3,
IARC 致癌分级,补骨脂素光疗组合,Methoxsalen (8-methoxypsoralen) plus ultraviolet A radiation,CAS=298-81-7  分级=1,
IARC 致癌分级,一组环肽肝毒素,Nodularins,CAS=118399-22-7  分级=3,
IARC 致癌分级,NTA及其盐类组,Nitrilotriacetic acid and its salts,CAS=139-13-9  分级=2B,
IARC 致癌分级,多溴联苯组,Polybrominated biphenyls,CAS=59536-65-1  分级=2A,
IARC 致癌分级,多氯联苯组,Polychlorinated biphenyls,CAS=1336-36-3  分级=1,
IARC 致癌分级,一组孕激素类药物,Progestins,CAS=-  分级=2B,
IARC 致癌分级,镭-224及其衰变产物组,Radium-224 and its decay products,CAS=13233-32-4  分级=1,
IARC 致癌分级,镭-226及其衰变产物组,Radium-226 and its decay products,CAS=13982-63-3  分级=1,
IARC 致癌分级,镭-228及其衰变产物组,Radium-228 and its decay products,CAS=15262-20-1  分级=1,
IARC 致癌分级,氡-222及其衰变产物组,Radon-222 and its decay products,CAS=10043-92-2  分级=1,
IARC 致癌分级,糖精及其盐类组,Saccharin and its salts,CAS=81-07-2  分级=3,
IARC 致癌分级,硒及其他合物组,Selenium and selenium compounds,CAS=7782-49-2  分级=3,
IARC 致癌分级,结晶二氧化硅粉尘(石英/方石英)组,"Silica dust, crystalline, in the form of quartz or cristobalite",CAS=14808-60-7  分级=1,
IARC 致癌分级,亚硫酸盐组,Sulfites,CAS=-  分级=3,
IARC 致癌分级,鞣酸及鞣质组,Tannic acid and tannins,CAS=1401-55-4  分级=3,
IARC 致癌分级,钍-232及其衰变产物组,Thorium-232 and its decay products,CAS=7440-29-1  分级=1,
IARC 致癌分级,一组维生素K类,Vitamin K substances,CAS=12001-79-5  分级=3,
IARC 致癌分级,除毛沸石外的一组沸石,"Zeolites other than erionite (clinoptilolite, phillipsite,mordenite, non-fibrous Japanese zeolite, synthetic zeolites)",CAS=1318-02-1  分级=3,
IARC 致癌分级,补骨脂素光疗组合,"4,4',6-Trimethylangelicin plus ultraviolet A radiation",CAS=90370-29-9  分级=3,
IARC 致癌分级,补骨脂素光疗组合,"4,4'-Dimethylangelicin plus ultraviolet A radiation",CAS=22975-76-4  分级=3,
IARC 致癌分级,补骨脂素光疗组合,"4,5'-Dimethylangelicin plus ultraviolet A radiation",CAS=4063-41-6  分级=3,
IARC 致癌分级,补骨脂素光疗组合,5-Methylangelicin plus ultraviolet A radiation,CAS=73459-03-7  分级=3,
SVHC 高关注物质,混合烷基链长酯类,"1,2-Benzenedicarboxylic acid, di-C6-10-alkyl esters",EC=271-094-0  CAS=68515-51-5,
SVHC 高关注物质,DHNUP 支链烷基酯族,"1,2-Benzenedicarboxylic acid, di-C6-8-branched alkyl esters, C7-rich",EC=276-158-1  CAS=71888-89-6,
SVHC 高关注物质,直链+支链混合烷基酯族,"1,2-Benzenedicarboxylic acid, di-C7-11-branched and linear alkyl esters",EC=271-084-6  CAS=68515-42-4,
SVHC 高关注物质,直链+支链异构体族,"1,2-Benzenedicarboxylic acid, dihexyl ester, branched and linear",EC=271-093-5  CAS=68515-50-4,
SVHC 高关注物质,直链+支链异构体族,"1,2-Benzenedicarboxylic acid, dipentyl ester, branched and linear",EC=284-032-2  CAS=84777-06-0,
SVHC 高关注物质,混合烷基酯,"1,2-Benzenedicarboxylic acid, mixed decyl and hexyl and octyl diesters",EC=272-013-1  CAS=68648-93-1,
SVHC 高关注物质,混合烷基酯(双定义行),"1,2-benzenedicarboxylic acid, di-C6-10-alkyl esters or mixed decyl and hexyl and octyl diesters",EC=-  CAS=-,
SVHC 高关注物质,壬基酚异构体族(组条目),"4-Nonylphenol, branched and linear",EC=-  CAS=-,
SVHC 高关注物质,支/直链壬基酚聚氧乙烯醚族,"4-Nonylphenol, branched and linear, ethoxylated",EC=-  CAS=-,
SVHC 高关注物质,支链壬基酚聚氧乙烯醚族,"4-Nonylphenol, branched, ethoxylated",EC=500-315-8  CAS=127087-87-0,
SVHC 高关注物质,同族带CAS子条目,"4-Nonylphenol, branched, ethoxylated (CAS: 127087-87-0)",EC=932-098-4  CAS=127087-87-0,
SVHC 高关注物质,壬基酚聚氧乙烯醚族,"4-Nonylphenol, ethoxylated",EC=500-045-0  CAS=26027-38-3,
SVHC 高关注物质,壬基酚(宽泛异构体),Nonylphenol,EC=246-672-0  CAS=25154-52-3,
SVHC 高关注物质,支链壬基酚聚氧乙烯醚族,"Nonylphenol, branched, ethoxylated",EC=500-209-1  CAS=68412-54-4,
SVHC 高关注物质,壬基酚聚氧乙烯醚族,"Nonylphenol, ethoxylated",EC=500-024-6  CAS=9016-45-9,
SVHC 高关注物质,异构壬基酚族,Isononylphenol,EC=234-284-4  CAS=11066-49-2,
SVHC 高关注物质,异构壬基酚聚氧乙烯醚族,"Isononylphenol, ethoxylated",EC=609-346-2  CAS=37205-87-1,
SVHC 高关注物质,对壬基酚(宽泛),p-nonylphenol,EC=203-199-4  CAS=104-40-5,
SVHC 高关注物质,对位异构壬基酚族,p-isononylphenol,EC=247-770-6  CAS=26543-97-5,
SVHC 高关注物质,庚基酚异构体族,"4-heptylphenol, branched and linear",EC=-  CAS=-,
SVHC 高关注物质,对壬基酚支链异构族,"Phenol, 4-nonyl-, branched",EC=284-325-5  CAS=84852-15-3,
SVHC 高关注物质,壬基酚支链异构族,"Phenol, nonyl-, branched",EC=291-844-0  CAS=90481-04-2,
SVHC 高关注物质,十二烷基酚支链异构族,"Phenol, dodecyl-, branched",EC=310-154-3  CAS=121158-58-5,
SVHC 高关注物质,对十二烷基酚支链异构族,"Phenol, 4-dodecyl, branched",EC=-  CAS=210555-94-5,
SVHC 高关注物质,庚基酚衍生物族,"Phenol, heptyl derivs.",EC=276-743-1  CAS=72624-02-3,
SVHC 高关注物质,PDDP 烷基化产物异构体族(UVCB),"Phenol, alkylation products (mainly in para position) with C12-rich branched alkyl chains from oligomerisation, covering any individual isomers and/ or combinations thereof (PDDP)",EC=799-972-3  CAS=-,
SVHC 高关注物质,亚磷酸三壬基苯酯(混合物),"Phenol, 4-nonyl-, phosphite (3:1)",EC=-  CAS=3050-88-2,
SVHC 高关注物质,亚磷酸酯(异构体混合物),"Phenol, p-isononyl-, phosphite (3:1)",EC=-  CAS=31631-13-7,
SVHC 高关注物质,亚磷酸酯(异构体混合物),"Phenol, p-sec-nonyl-, phosphite",EC=-  CAS=106599-06-8,
SVHC 高关注物质,亚磷酸三壬基苯酯(异构混合物),"tris(4-nonylphenyl, branched) phosphite",EC=-  CAS=-,
SVHC 高关注物质,亚磷酸三壬基苯酯(混合物),tris(nonylphenyl) phosphite,EC=247-759-6  CAS=26523-78-4,
SVHC 高关注物质,TNPP 异构体族(组条目),"Tris(4-nonylphenyl, branched and linear) phosphite (TNPP) with ≥ 0.1% w/w of 4-nonylphenol, branched and linear (4-NP)",EC=-  CAS=-,
SVHC 高关注物质,同一聚合物族的不同EO行,"Nonylphenol, ethoxylated (10-EO) (9016-45-9)",EC=931-755-2  CAS=-,
SVHC 高关注物质,同上,"Nonylphenol, ethoxylated (15-EO) (9016-45-9)",EC=931-756-8  CAS=-,
SVHC 高关注物质,同上,"Nonylphenol, ethoxylated (6,5-EO) (9016-45-9)",EC=931-753-1  CAS=-,
SVHC 高关注物质,同上,"Nonylphenol, ethoxylated (8-EO) (9016-45-9)",EC=931-754-7  CAS=-,
SVHC 高关注物质,同上,"Nonylphenol, ethoxylated (EO = 10)",EC=939-993-9  CAS=-,
SVHC 高关注物质,同上,"Nonylphenol, ethoxylated (EO = 4)",EC=939-975-0  CAS=-,
SVHC 高关注物质,同上,"Nonylphenol, ethoxylated (polymer)",EC=938-618-6  CAS=-,
SVHC 高关注物质,同上(德文名),Nonylphenolpolyglycolether,EC=932-998-7  CAS=-,
SVHC 高关注物质,对叔壬基酚二乙氧基化物族,4-t-Nonylphenol-diethoxylate,EC=-  CAS=156609-10-8,
SVHC 高关注物质,对壬基酚六乙氧基化物族,p-Nonylphenol hexaethoxylate,EC=-  CAS=34166-38-6,
SVHC 高关注物质,辛基酚聚氧乙烯醚族(4-OPnEO),"4-(1,1,3,3-tetramethylbutyl)phenol, ethoxylated",EC=-  CAS=-,
SVHC 高关注物质,壬基酚聚氧乙烯醚族(聚合物命名),"Poly(oxy-1,2-ethanediyl), a-(nonylphenyl)-w-hydroxy- (CAS 9016-45-9)",EC=931-562-3  CAS=9016-45-9,
SVHC 高关注物质,同上(支链),"Poly(oxy-1,2-ethanediyl), α-(nonylphenyl)-ω-hydroxy-, branched",EC=-  CAS=68412-54-4,
SVHC 高关注物质,辛基酚聚氧乙烯醚族,"Poly(oxy-1,2-ethanediyl), α-[(1,1,3,3-tetramethylbutyl)phenyl]-ω-hydroxy-",EC=-  CAS=9036-19-5,
SVHC 高关注物质,辛基酚聚氧乙烯醚族,"Polyethylene glycol p-(1,1,3,3-tetramethylbutyl)phenyl ether",EC=-  CAS=9002-93-1,
SVHC 高关注物质,短链氯化石蜡(SCCP)同系物组,"Alkanes, C10-13, chloro (Short Chain Chlorinated Paraffins)",EC=287-476-5  CAS=85535-84-8,
SVHC 高关注物质,中链氯化石蜡同系物组,"Alkanes, C14-16, chloro",EC=701-376-5  CAS=1372804-76-6,
SVHC 高关注物质,中链氯化石蜡(MCCP C14-17)组,"Alkanes, C14-17, chloro",EC=287-477-0  CAS=85535-85-9,
SVHC 高关注物质,氯化十四烷衍生物组,"Tetradecane, chloro derivs.",EC=-  CAS=198840-65-2,
SVHC 高关注物质,不同氯化度四氯化烷组,"di-, tri- and tetrachlorotetradecane",EC=950-299-5  CAS=-,
SVHC 高关注物质,中链氯化石蜡组条目,Medium-chain chlorinated paraffins (MCCP),EC=799-971-8  CAS=-,
SVHC 高关注物质,HFPO-DA酸+盐+酰卤组,"2,3,3,3-tetrafluoro-2-(heptafluoropropoxy)propionic acid, its salts and its acyl halides",EC=-  CAS=-,
SVHC 高关注物质,全氟壬酸铵盐组,Ammonium salts of perfluorononan-1-oic-acid,"EC=-  CAS=-, 4149-60-4",
SVHC 高关注物质,全氟壬酸钠盐组,Sodium salts of perfluorononan-1-oic-acid,"EC=-  CAS=-, 21049-39-8",
SVHC 高关注物质,PFDA酸+盐组,Nonadecafluorodecanoic acid (PFDA) and its sodium and ammonium salts,EC=-  CAS=-,
SVHC 高关注物质,PFBS酸+盐组,Perfluorobutane sulfonic acid (PFBS) and its salts,EC=-  CAS=-,
SVHC 高关注物质,PFHxS酸+盐组,Perfluorohexane-1-sulphonic acid and its salts,EC=-  CAS=-,
SVHC 高关注物质,全氟壬酸+盐组,Perfluorononan-1-oic-acid and its sodium and ammonium salts,EC=-  CAS=-,
SVHC 高关注物质,DOTE+MOTE 反应质量组,"Reaction mass of 2-ethylhexyl 10-ethyl-4,4-dioctyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoate and 2-ethylhexyl 10-ethyl-4-[[2-[(2-ethylhexyl)oxy]-2-oxoethyl]thio]-4-octyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoate (reaction mass of DOTE and MOTE)",EC=-  CAS=-,
SVHC 高关注物质,反应质量(异构体组),"Reaction mass of 5-sec-butyl-2-(2,4-dimethylcyclohex-3-en-1-yl)-5-methyl-1,3-dioxane and 5-sec-butyl-2-(4,6-dimethylcyclohex-3-en-1-yl)-5-methyl-1,3-dioxane",EC=413-720-9  CAS=117933-89-8,
SVHC 高关注物质,反应产物(UVCB),"Reaction product of 1,3,4-thiadiazolidine-2,5-dithione, formaldehyde and phenol, heptyl derivs.",EC=-  CAS=1471311-26-8,
SVHC 高关注物质,RP-HP 反应产物(UVCB),"Reaction products of 1,3,4-thiadiazolidine-2,5-dithione, formaldehyde and 4-heptylphenol, branched and linear (RP-HP)",EC=-  CAS=-,
SVHC 高关注物质,甲醛-苯胺低聚反应产物(UVCB),"Formaldehyde, oligomeric reaction products with aniline",EC=500-036-1  CAS=25214-70-4,
SVHC 高关注物质,反应产物(UVCB),"Formaldehyde, reaction products with branched and linear heptylphenol, carbon disulfide and hydrazine",EC=300-298-5  CAS=93925-00-9,
SVHC 高关注物质,铬酸及低聚物组,Acids generated from chromium trioxide and their oligomers,EC=-  CAS=-,
SVHC 高关注物质,铬酸低聚物组,Oligomers of chromic acid and dichromic acid,EC=-  CAS=-,
SVHC 高关注物质,过硼酸钠组条目(ECHA),"Sodium perborate, perboric acid, sodium salt",EC=-  CAS=-,
SVHC 高关注物质,过硼酸盐族,Sodium perborate,EC=239-172-9  CAS=15120-21-5,
SVHC 高关注物质,过硼酸盐族,"Perboric acid, sodium salt",EC=234-390-0  CAS=11138-47-9,
SVHC 高关注物质,硅酸铝陶瓷纤维类,Aluminosilicate Refractory Ceramic Fibres,EC=-  CAS=-,
SVHC 高关注物质,锆硅酸铝陶瓷纤维类,Zirconia Aluminosilicate Refractory Ceramic Fibres,EC=-  CAS=-,
SVHC 高关注物质,同族另一命名行,"Refractories, fibers, aluminosilicate",EC=-  CAS=142844-00-6,
SVHC 高关注物质,同族另一命名行,"Refractories, fibers, aluminosilicate",EC=-  CAS=142844-00-6,
SVHC 高关注物质,三个溴化阻燃剂同组条目,"2,2-bis(bromomethyl)propane-1,3-diol (BMP); 2,2-dimethylpropan-1-ol, tribromo derivative/3-bromo-2,2-bis(bromomethyl)-1-propanol (TBNPA); 2,3-dibromo-1-propanol (2,3-DBPA)",EC=799-968-1  CAS=-,
SVHC 高关注物质,二辛基锡脂肪酸酯衍生物组,"Dioctyltin dilaurate, stannane, dioctyl-, bis(coco acyloxy) derivs., and any other stannane, dioctyl-, bis(fatty acyloxy) derivs. wherein C12 is the predominant carbon number of the fatty acyloxy moiety",EC=-  CAS=-,
SVHC 高关注物质,同族组条目,"dioctyltin dilaurate; stannane, dioctyl-, bis(coco acyloxy) derivs.",EC=-  CAS=-,
SVHC 高关注物质,二辛基锡椰油酰氧基衍生物族,"Stannane, dioctyl-, bis(coco acyloxy) derivs.",EC=293-901-5  CAS=91648-39-4,
SVHC 高关注物质,混合脂肪酸铅盐组,"Fatty acids, C16-18, lead salts",EC=292-966-7  CAS=91031-62-8,
SVHC 高关注物质,蒽油(多环芳烃复杂混合物),Anthracene oil,EC=292-602-7  CAS=90640-80-5,
SVHC 高关注物质,蒽油馏分(UVCB),"Anthracene oil, anthracene paste",EC=292-603-2  CAS=90640-81-6,
SVHC 高关注物质,蒽油馏分(UVCB),"Anthracene oil, anthracene paste, anthracene fraction",EC=295-275-9  CAS=91995-15-2,
SVHC 高关注物质,蒽油馏分(UVCB),"Anthracene oil, anthracene paste, distn. lights",EC=295-278-5  CAS=91995-17-4,
SVHC 高关注物质,蒽油馏分(UVCB),"Anthracene oil, anthracene-low",EC=292-604-8  CAS=90640-82-7,
SVHC 高关注物质,高温煤焦油沥青(UVCB),"Pitch, coal tar, high-temp.",EC=266-028-2  CAS=65996-93-2,
SVHC 高关注物质,氢化三联苯(异构混合物),"Terphenyl, hydrogenated",EC=262-967-7  CAS=61788-32-7,
SVHC 高关注物质,醛及其立体异构体组,2-(4-tert-butylbenzyl)propionaldehyde and its individual stereoisomers,EC=799-970-2  CAS=-,
SVHC 高关注物质,HBCDD 异构体族,Hexabromocyclododecane,EC=247-148-4  CAS=25637-99-4,
SVHC 高关注物质,HBCDD 组条目,Hexabromocyclododecane (HBCDD),EC=-  CAS=-,
SVHC 高关注物质,HBCDD α异构体(族成员),alpha-hexabromocyclododecane,EC=-  CAS=134237-50-6,
SVHC 高关注物质,HBCDD β异构体(族成员),beta-hexabromocyclododecane,EC=-  CAS=134237-51-7,
SVHC 高关注物质,HBCDD γ异构体(族成员),gamma-hexabromocyclododecane,EC=-  CAS=134237-52-8,
SVHC 高关注物质,HBCDD 通用结构行,"1,2,5,6,9,10-hexabromocyclododecane",EC=221-695-9  CAS=3194-55-6,
SVHC 高关注物质,ODA及其盐类组,"4,4'-oxydianiline and its salts",EC=-  CAS=-,
SVHC 高关注物质,两个异构体并列为一条(组条目),"5-sec-butyl-2-(2,4-dimethylcyclohex-3-en-1-yl)-5-methyl-1,3-dioxane [1], 5-sec-butyl-2-(4,6-dimethylcyclohex-3-en-1-yl)-5-methyl-1,3-dioxane [2]",EC=-  CAS=-,
CMR (CLP 附件VI),CLP 组条目 index 005-007-00-2 覆盖 2 个成员,boric acid [1] / boric acid [2],,
CMR (CLP 附件VI),CLP 组条目 index 005-011-00-4 覆盖 3 个成员,"disodium tetraborate, anhydrous; boric acid, disodium salt [ / tetraboron disodium heptaoxide, hydrate [2] / orthoboric acid, sodium salt  [3]",,
CMR (CLP 附件VI),CLP 组条目 index 005-017-00-7 覆盖 2 个成员,"sodium perborate; [containing = 0,1 % (w/w) of particles wit / sodium peroxometaborate; sodium peroxoborate; [containing = ",,
CMR (CLP 附件VI),CLP 组条目 index 005-017-01-4 覆盖 2 个成员,"sodium perborate; [containing = 0,1 % (w/w) of particles wit / sodium peroxometaborate; sodium peroxoborate; [containing < ",,
CMR (CLP 附件VI),CLP 组条目 index 005-018-00-2 覆盖 3 个成员,"perboric acid (H3BO2(O2)), monosodium salt trihydrate; [cont / perboric acid, sodium salt, tetrahydrate; [containing < 0,1  / perboric acid (HBO(O2)), sodium salt, tetrahydrate sodium pe",,
CMR (CLP 附件VI),CLP 组条目 index 005-018-01-X 覆盖 3 个成员,"perboric acid (H3BO2(O2)), monosodium salt, trihydrate [1] / perboric acid, sodium salt, tetrahydrate [2] / perboric acid (HBO(O2)), sodium salt, tetrahydrate [3]",,
CMR (CLP 附件VI),CLP 组条目 index 005-019-00-8 覆盖 3 个成员,"perboric acid, sodium salt; [containing < 0,1 % (w/w) of par / perboric acid, sodium salt, monohydrate; [containing < 0,1 % / perboric acid (HBO(O2)), sodium salt, monohydrate; sodium pe",,
CMR (CLP 附件VI),CLP 组条目 index 005-019-01-5 覆盖 3 个成员,"perboric acid, sodium salt [1] / perboric acid, sodium salt, monohydrate; [containing = 0,1 % / perboric acid (HBO(O2)), sodium salt, monohydrate; sodium pe",,
CMR (CLP 附件VI),CLP 组条目 index 005-020-00-3 覆盖 2 个成员,disodium octaborate anhydrous [1] / disodium octaborate tetrahydrate [2],,
CMR (CLP 附件VI),CLP 组条目 index 028-003-00-2 覆盖 3 个成员,nickel monoxide [1] / nickel oxide [2] / bunsenite  [3],,
CMR (CLP 附件VI),CLP 组条目 index 028-006-00-9 覆盖 3 个成员,nickel (II) sulfide [1] / nickel sulfide [2] / millerite  [3],,
CMR (CLP 附件VI),CLP 组条目 index 028-007-00-4 覆盖 2 个成员,trinickel disulfide; nickel subsulfide [1] / heazlewoodite  [2],,
CMR (CLP 附件VI),CLP 组条目 index 028-008-00-X 覆盖 2 个成员,nickel dihydroxide [1] / nickel hydroxide  [2],,
CMR (CLP 附件VI),CLP 组条目 index 028-010-00-0 覆盖 4 个成员,"nickel carbonate; basic nickel carbonate; carbonic acid, nic / carbonic acid, nickel salt [2] / [µ-[carbonato(2-)-O:O’]] dihydroxy trinickel [3] / [carbonato(2-)] tetrahydroxytrinickel  [4]",,
CMR (CLP 附件VI),CLP 组条目 index 028-012-00-1 覆盖 2 个成员,"nickel dinitrate [1] / nitric acid, nickel salt [2]",,
CMR (CLP 附件VI),CLP 组条目 index 028-017-00-9 覆盖 2 个成员,nickel dipotassium bis(sulfate) [1] / diammonium nickel bis(sulfate)  [2],,
CMR (CLP 附件VI),CLP 组条目 index 028-021-00-0 覆盖 3 个成员,"nickel diformate [1] / formic acid, nickel salt [2] / formic acid, copper nickel salt  [3]",,
CMR (CLP 附件VI),CLP 组条目 index 028-022-00-6 覆盖 2 个成员,nickel di(acetate) [1] / nickel acetate [2],,
CMR (CLP 附件VI),CLP 组条目 index 028-029-00-4 覆盖 4 个成员,nickel difluoride [1] / nickel dibromide [2] / nickel diiodide [3] / nickel potassium fluoride  [4],,
CMR (CLP 附件VI),CLP 组条目 index 028-032-00-0 覆盖 8 个成员,"nickel hydrogen phosphate [1] / nickel bis(dihydrogen phosphate) [2] / trinickel bis(orthophosphate) [3] / dinickel diphosphate [4] / nickel bis(phosphinate) [5] / nickel phosphinate [6] / phosphoric acid, calcium nickel salt [7] / diphosphoric acid, nickel(II) salt  [8]",,
CMR (CLP 附件VI),CLP 组条目 index 028-036-00-2 覆盖 5 个成员,"nickel(II) silicate [1] / dinickel orthosilicate [2] / nickel silicate (3:4) [3] / silicic acid, nickel salt [4] / trihydrogen hydroxybis[orthosilicato(4-)]trinickelate(3-)  [",,
CMR (CLP 附件VI),CLP 组条目 index 028-039-00-9 覆盖 2 个成员,"nickel oxalate [1] / oxalic acid, nickel salt  [2]",,
CMR (CLP 附件VI),CLP 组条目 index 028-043-00-0 覆盖 3 个成员,cobalt nickel gray periclase; C.I. Pigment Black 25; C.I. 77 / cobalt nickel dioxide [2] / cobalt nickel oxide  [3],,
CMR (CLP 附件VI),CLP 组条目 index 028-051-00-4 覆盖 2 个成员,nickel diarsenide [1] / nickel arsenide  [2],,
CMR (CLP 附件VI),CLP 组条目 index 028-053-00-5 覆盖 3 个成员,"nickel dichlorate [1] / nickel dibromate [2] / ethyl hydrogen sulfate, nickel(II) salt  [3]",,
CMR (CLP 附件VI),CLP 组条目 index 028-054-00-0 覆盖 31 个成员,"nickel(II) trifluoroacetate [1] / nickel(II) propionate [2] / nickel bis(benzenesulfonate) [3] / nickel(II) hydrogen citrate [4] / citric acid, ammonium nickel salt [5] / citric acid, nickel salt [6] / nickel bis(2-ethylhexanoate) [7] / 2-ethylhexanoic acid, nickel salt [8] / dimethylhexanoic acid nickel salt [9] / nickel(II) isooctanoate [10] / nickel isooctanoate [11] / nickel bis(isononanoate)  …",,
CMR (CLP 附件VI),CLP 组条目 index 028-055-00-6 覆盖 4 个成员,nickel(II) sulfite [1] / nickel tellurium trioxide [2] / nickel tellurium tetraoxide [3] / molybdenum nickel hydroxide oxide phosphate  [4],,
CMR (CLP 附件VI),CLP 组条目 index 028-056-00-1 覆盖 8 个成员,nickel boride (NiB) [1] / dinickel boride [2] / trinickel boride [3] / nickel boride [4] / dinickel silicide [5] / nickel disilicide [6] / dinickel phosphide [7] / nickel boron phosphide  [8],,
CMR (CLP 附件VI),CLP 组条目 index 028-057-00-7 覆盖 11 个成员,"dialuminium nickel tetraoxide [1] / nickel titanium trioxide [2] / nickel titanium oxide [3] / nickel divanadium hexaoxide [4] / cobalt dimolybdenum nickel octaoxide [5] / nickel zirkonium trioxide [6] / molybdenum nickel tetraoxide [7] / nickel tungsten tetraoxide [8] / olivine, nickel green [9] / lithium nickel dioxide [10] / molybdenum nickel oxide [11]",,
CMR (CLP 附件VI),CLP 组条目 index 048-002-00-0 覆盖 2 个成员,cadmium (non-pyrophoric) [1] / cadmium oxide (non-pyrophoric)  [2],,
CMR (CLP 附件VI),CLP 组条目 index 050-031-00-9 覆盖 2 个成员,"dioctyltin dilaurate [1] / stannane, dioctyl-, bis (coco acyloxy)  derivs. [2]",,
CMR (CLP 附件VI),CLP 组条目 index 601-004-01-8 覆盖 2 个成员,"butane (containing ≥ 0,1 % butadiene (203-450-8)) [1] / isobutane (containing ≥ 0,1 % butadiene (203-450-8))  [2]",,
CMR (CLP 附件VI),CLP 组条目 index 604-092-00-9 覆盖 5 个成员,"phenol, dodecyl-, branched [1] / phenol, 2-dodecyl-, branched [2] / phenol, 3-dodecyl-, branched [3] / phenol, 4-dodecyl-, branched [4] / phenol, (tetrapropenyl) derivatives [5]",,
CMR (CLP 附件VI),CLP 组条目 index 607-056-00-0 覆盖 3 个成员,warfarin (ISO); 4-hydroxy-3-(3-oxo-1-phenylbutyl)-2H-chromen / (S)-4-hydroxy-3-(3-oxo-1-phenylbutyl)-2-benzopyrone [2] / (R)-4-hydroxy-3-(3-oxo-1-phenylbutyl)-2-benzopyrone  [3],,
CMR (CLP 附件VI),CLP 组条目 index 607-426-00-1 覆盖 4 个成员,"1,2-benzenedicarboxylic acid, dipentylester, branched and li / n-pentyl-isopentylphthalate [2] / di-n-pentyl phthalate [3] / diisopentylphthalate  [4]",,
CMR (CLP 附件VI),CLP 组条目 index 607-624-00-8 覆盖 5 个成员,perfluorooctane sulfonic acid; heptadecafluorooctane-1-sulfo / potassium perfluorooctanesulfonate; potassium heptadecafluor / diethanolamine perfluorooctane sulfonate [3] / ammonium perfluorooctane sulfonate; ammonium heptadecafluoro / lithium perfluorooctane sulfonate; lithium heptadecafluorooc,,
CMR (CLP 附件VI),CLP 组条目 index 607-718-00-9 覆盖 3 个成员,perfluorononan-1-oic acid [1] / perfluorononan-1-oic acid sodium salt [2] / perfluorononan-1-oic acid ammonium salt [3],,
CMR (CLP 附件VI),CLP 组条目 index 607-720-00-X 覆盖 3 个成员,nonadecafluorodecanoic acid [1] / ammonium nonadecafluorodecanoate [2] / sodium nonadecafluorodecanoate [3],,
CMR (CLP 附件VI),CLP 组条目 index 609-007-00-9 覆盖 2 个成员,"2,4-dinitrotoluene [1] / dinitrotoluene  [2]",,
